,2021,2021,2021,2020,2020,2020,2019,2019,2019,2018,2018,2018,2017,2017,2017,2016,2016,2016,2015,2015,2015,2014,2014,2014,2013,2013,2013,2012,2012,2012,2011,2011,2011,2010,2010,2010,2009,2009,2009,2008,2008,2008,2007,2007,2007,2006,2006,2006,2005,2005,2005,2004,2004,2004,2003,2003,2003,2002,2002,2002,2001,2001,2001,2000,2000,2000
"Countries, territories and areas", 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years
Paraguay,0.3,18.1,0.3,0.3,16.7,0.3,0.3,20.4,0.3,0.4,21.8,0.4,0.4,23.7,0.4,0.4,23.3,0.4,0.4,21.5,0.4,0.3,17.5,0.3,0.3,15.7,0.3,0.3,17.3,0.3,0.3,20.4,0.3,0.4,22.0,0.4,0.4,23.2,0.4,0.4,22.0,0.4,0.4,22.8,0.4,0.5,29.3,0.5,0.6,36.0,0.6,0.6,34.5,0.6,0.6,33.5,0.6,0.5,32.2,0.5,0.5,30.1,0.5,0.5,27.4,0.5
Peru,0.7,41.5,0.7,0.6,35.3,0.6,0.6,37.4,0.6,0.8,47.0,0.8,0.6,38.3,0.6,0.5,31.6,0.5,0.6,35.9,0.6,0.7,41.7,0.7,0.9,54.2,0.9,1.0,57.4,1.0,1.0,59.2,1.0,1.1,66.6,1.1,1.3,76.1,1.3,1.5,87.6,1.5,1.7,98.5,1.7,1.9,111.3,1.9,1.9,114.4,1.9,1.9,109.5,1.9,1.9,113.4,1.9,2.2,126.9,2.2,2.3,137.7,2.3,2.4,142.4,2.4
Philippines,1.0,59.5,1.0,0.9,51.4,0.9,0.7,43.9,0.7,0.7,38.6,0.7,0.6,33.8,0.6,0.5,28.9,0.5,0.4,23.4,0.4,0.5,28.6,0.5,0.4,23.1,0.4,0.3,19.3,0.3,0.3,14.9,0.3,0.2,11.4,0.2,0.2,9.9,0.2,0.1,8.3,0.1,0.1,7.5,0.1,0.1,5.9,0.1,0.1,5.1,0.1,0.1,4.4,0.1,0.1,3.6,0.1,0.0,2.9,0.0,0.0,2.9,0.0,0.0,2.2,0.0
Poland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,1.3,0.0,0.0,1.3,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,2.9,0.0,0.0,1.4,0.0,0.0,1.2,0.0,0.0,0.0,0.0
Portugal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.5,0.0,0.0,0.8,0.0,0.0,1.0,0.0,0.0,1.3,0.0,0.0,1.5,0.0,0.0,1.8,0.0,0.0,2.2,0.0,0.0,2.4,0.0,0.0,1.5,0.0,0.0,1.3,0.0,0.0,2.3,0.0,0.1,4.5,0.1,0.1,1.5,0.1
Qatar,0.0,0.5,0.0,0.0,0.8,0.0,0.0,1.0,0.0,0.0,0.9,0.0,0.0,1.0,0.0,0.0,0.8,0.0,0.0,0.7,0.0,0.0,0.9,0.0,0.0,0.8,0.0,0.0,0.8,0.0,0.0,0.7,0.0,0.0,0.6,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.4,0.0,0.0,0.4,0.0,0.0,0.4,0.0,0.0,0.4,0.0,0.0,0.4,0.0,0.0,0.4,0.0,0.0,0.3,0.0
Republic of Korea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0
Republic of Moldova,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Romania,0.1,0.0,0.1,0.1,0.0,0.1,0.1,0.0,0.1,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,1.1,0.0,1.2,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,3.9,0.0,0.0,2.6,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.1,3.7,1.1,0.0,1.1,0.0,0.0,2.2,0.0,0.0,2.1,0.0,0.0,4.0,0.0,0.0,3.7,0.0,0.0,1.8,0.0,0.0,5.9,0.0
Russian Federation,12.9,761.6,12.9,17.1,1010.4,17.1,15.7,923.4,15.7,15.0,882.2,15.0,14.9,881.8,14.9,13.7,808.9,13.7,13.0,765.2,13.0,14.1,831.9,14.1,14.5,856.9,14.5,12.0,708.6,12.0,8.3,487.4,8.3,5.5,324.8,5.5,6.8,401.6,6.8,6.2,364.2,6.2,5.0,293.7,5.0,4.1,239.9,4.1,3.8,223.6,3.8,3.8,221.6,3.8,4.5,263.7,4.5,4.9,289.9,4.9,4.1,242.8,4.1,3.5,206.1,3.5
Rwanda,3.0,175.0,3.0,3.2,190.0,3.2,3.7,220.9,3.7,3.7,216.8,3.7,3.2,188.1,3.2,2.9,170.0,2.9,3.2,190.8,3.2,3.9,231.7,3.9,4.6,269.3,4.6,5.5,322.3,5.5,6.1,360.2,6.1,10.5,616.8,10.5,14.1,832.5,14.1,17.9,1056.5,17.9,22.2,1309.4,22.2,25.0,1477.0,25.0,28.3,1669.3,28.3,32.1,1894.2,32.1,36.4,2149.0,36.4,39.3,2316.1,39.3,42.1,2484.5,42.1,44.1,2599.4,44.1
Saint Kitts and Nevis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saint Lucia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,1.2,0.0
Saint Vincent and the Grenadines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,3.3,0.0
Samoa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
San Marino,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sao Tome and Principe,0.0,1.1,0.0,0.0,1.5,0.0,0.0,1.6,0.0,0.0,2.4,0.0,0.0,2.6,0.0,0.1,3.3,0.1,0.1,3.0,0.1,0.1,3.7,0.1,0.1,4.0,0.1,0.1,5.3,0.1,0.1,7.2,0.1,0.1,8.0,0.1,0.2,9.4,0.2,0.2,10.9,0.2,0.2,13.6,0.2,0.3,16.4,0.3,0.3,19.2,0.3,0.4,22.2,0.4,0.4,23.9,0.4,0.4,26.2,0.4,0.5,27.8,0.5,0.5,28.7,0.5
Saudi Arabia,0.1,3.7,0.1,0.1,3.2,0.1,0.0,2.6,0.0,0.0,2.6,0.0,0.1,3.3,0.1,0.1,3.4,0.1,0.1,5.6,0.1,0.1,7.9,0.1,0.2,9.6,0.2,0.2,12.6,0.2,0.2,11.8,0.2,0.2,14.6,0.2,0.3,15.2,0.3,0.3,16.0,0.3,0.3,16.8,0.3,0.3,16.9,0.3,0.3,17.3,0.3,0.3,18.2,0.3,0.3,19.1,0.3,0.3,19.8,0.3,0.3,19.5,0.3,0.3,19.8,0.3
Senegal,2.2,129.9,2.2,2.4,140.4,2.4,2.7,157.8,2.7,3.5,206.6,3.5,3.6,215.0,3.6,3.9,230.0,3.9,5.0,295.7,5.0,6.1,357.7,6.1,6.4,375.4,6.4,7.1,418.3,7.1,7.3,433.4,7.3,7.7,454.0,7.7,8.0,473.8,8.0,8.8,520.5,8.8,9.7,572.6,9.7,10.2,600.7,10.2,10.3,607.3,10.3,10.3,607.3,10.3,10.2,604.6,10.2,10.1,595.6,10.1,9.7,572.8,9.7,9.1,537.4,9.1
Serbia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
Seychelles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sierra Leone,12.1,712.2,12.1,12.5,735.1,12.5,12.8,757.2,12.8,13.3,782.4,13.3,14.0,828.6,14.0,15.0,884.9,15.0,16.6,982.0,16.6,16.0,946.0,16.0,15.4,911.3,15.4,15.7,924.7,15.7,17.1,1011.8,17.1,18.0,1061.3,18.0,18.7,1102.5,18.7,19.1,1124.4,19.1,20.1,1185.9,20.1,20.0,1179.2,20.0,19.7,1163.4,19.7,19.3,1136.1,19.3,18.7,1103.9,18.7,17.7,1047.1,17.7,16.6,981.5,16.6,15.8,933.0,15.8
Singapore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Slovakia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Slovenia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Solomon Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Somalia,0.6,37.9,0.6,0.7,43.0,0.7,0.8,49.1,0.8,1.0,56.1,1.0,1.1,62.9,1.1,1.2,70.0,1.2,1.4,81.5,1.4,1.6,94.0,1.6,1.8,105.3,1.8,2.0,118.6,2.0,2.3,135.7,2.3,2.5,149.0,2.5,2.8,162.7,2.8,3.0,176.0,3.0,3.1,184.8,3.1,3.2,190.0,3.2,3.2,189.9,3.2,3.1,185.1,3.1,3.0,178.1,3.0,2.9,169.5,2.9,2.7,158.0,2.7,2.5,144.9,2.5
South Africa,36.1,1582.5,36.1,37.0,2104.4,37.0,38.3,2282.0,38.3,32.5,2691.0,32.5,31.2,2917.7,31.2,45.2,2861.1,45.2,16.5,2952.7,16.5,31.4,3101.5,31.4,92.9,3655.7,92.9,132.7,4831.5,132.7,95.6,7474.4,95.6,26.7,11676.5,26.7,20.1,17985.2,20.1,39.0,24177.7,39.0,6.6,27667.9,6.6,23.7,29721.4,23.7,22.9,28107.2,22.9,17.7,25568.4,17.7,21.1,23385.2,21.1,20.5,21766.5,20.5,20.7,20295.5,20.7,22.3,18784.2,22.3
South Sudan,13.5,794.8,13.5,13.0,767.1,13.0,12.7,751.5,12.7,13.2,776.3,13.2,14.9,877.8,14.9,17.1,1010.2,17.1,17.4,1024.8,17.4,19.1,1124.9,19.1,18.6,1096.9,18.6,18.5,1093.2,18.5,18.3,1081.7,18.3,18.2,1072.3,18.2,18.3,1082.2,18.3,18.0,1063.0,18.0,17.8,1049.7,17.8,17.6,1039.4,17.6,17.5,1031.0,17.5,17.4,1023.9,17.4,17.3,1019.7,17.3,17.2,1016.2,17.2,16.9,997.0,16.9,16.5,973.8,16.5
Spain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,0.0,0.0,1.4,0.0,0.0,1.3,0.0,0.0,2.7,0.0,0.0,8.0,0.0,1.1,1.3,1.1
Sri Lanka,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.2,0.0,0.0,0.4,0.0,0.0,1.0,0.0,0.0,1.1,0.0,0.0,1.7,0.0,0.0,2.3,0.0,0.1,3.0,0.1,0.1,3.1,0.1,0.1,3.1,0.1,0.1,3.1,0.1,0.1,5.7,0.1,0.0,2.5,0.0,0.0,2.6,0.0,0.0,2.7,0.0,0.0,2.7,0.0,0.1,3.9,0.1,0.0,2.0,0.0,0.0,1.3,0.0,0.0,1.2,0.0,0.0,1.1,0.0
Sudan,3.5,206.6,3.5,3.5,208.6,3.5,3.5,208.6,3.5,3.6,211.9,3.6,3.6,211.7,3.6,3.7,220.3,3.7,3.8,223.8,3.8,4.0,234.9,4.0,4.1,239.5,4.1,4.1,240.9,4.1,4.0,236.5,4.0,4.1,241.9,4.1,4.5,263.0,4.5,4.5,268.0,4.5,4.5,264.9,4.5,4.5,262.8,4.5,4.4,262.2,4.4,4.5,264.8,4.5,4.5,267.8,4.5,4.5,268.0,4.5,4.5,264.8,4.5,4.4,258.7,4.4
Suriname,0.0,2.1,0.0,0.0,2.1,0.0,0.0,2.2,0.0,0.0,2.3,0.0,0.0,2.3,0.0,0.0,2.4,0.0,0.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3,0.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0,4.5,0.0,0.0,9.9,0.0,0.0,6.8,0.0,0.0,5.0,0.0,0.0,5.2,0.0,2.0,6.3,2.0,0.0,8.7,0.0,0.0,15.1,0.0,1.3,16.2,1.3,0.0,4.4,0.0
Sweden,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Switzerland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1
Syrian Arab Republic,0.1,3.3,0.1,0.0,2.8,0.0,0.0,2.3,0.0,0.0,2.2,0.0,0.0,2.2,0.0,0.1,3.9,0.1,0.1,4.2,0.1,0.1,5.1,0.1,0.1,6.6,0.1,0.1,5.6,0.1,0.1,3.3,0.1,0.1,3.3,0.1,0.1,3.5,0.1,0.0,2.7,0.0,0.0,2.6,0.0,0.0,2.5,0.0,0.0,2.5,0.0,0.0,2.4,0.0,0.0,1.6,0.0,0.0,1.6,0.0,0.0,1.6,0.0,0.0,1.5,0.0
Turkiye,0.0,1.2,0.0,0.0,1.3,0.0,0.0,1.4,0.0,0.0,1.6,0.0,0.0,1.7,0.0,0.0,2.6,0.0,0.0,1.5,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,2.3,0.0,0.0,2.4,0.0,0.0,7.9,0.0,0.0,2.8,0.0,0.0,8.6,0.0,0.0,12.5,0.0,0.0,18.0,0.0,0.0,26.0,0.0,0.0,37.6,0.0,0.0,56.0,0.0,0.0,85.3,0.0,0.0,119.4,0.0,0.0,176.1,0.0
Tajikistan,0.6,34.5,0.6,0.5,28.9,0.5,0.5,32.1,0.5,0.7,40.5,0.7,0.8,45.2,0.8,0.7,44.2,0.7,0.7,40.7,0.7,0.7,40.3,0.7,0.9,50.2,0.9,1.0,56.2,1.0,0.9,52.2,0.9,0.7,38.6,0.7,0.5,27.4,0.5,0.3,18.2,0.3,0.2,12.7,0.2,0.1,7.6,0.1,0.1,4.8,0.1,0.0,2.8,0.0,0.0,1.4,0.0,0.0,0.7,0.0,0.0,0.4,0.0,0.0,0.2,0.0
Thailand,0.1,8.0,0.1,0.2,9.4,0.2,0.2,12.3,0.2,0.3,14.9,0.3,0.4,24.0,0.4,0.7,40.7,0.7,0.8,48.9,0.8,0.9,52.5,0.9,0.9,51.7,0.9,1.6,96.1,1.6,2.2,129.2,2.2,2.2,127.7,2.2,2.9,169.7,2.9,4.3,254.6,4.3,6.1,358.9,6.1,7.3,430.1,7.3,9.4,553.1,9.4,12.7,749.9,12.7,15.9,936.6,15.9,19.2,1135.4,19.2,22.5,1330.3,22.5,25.7,1516.4,25.7
Timor-Leste,0.1,3.3,0.1,0.1,4.2,0.1,0.1,4.2,0.1,0.1,4.3,0.1,0.1,3.5,0.1,0.0,2.7,0.0,0.0,2.8,0.0,0.0,2.8,0.0,0.0,2.8,0.0,0.0,2.8,0.0,0.0,2.8,0.0,0.0,2.8,0.0,0.0,2.9,0.0,0.0,2.8,0.0,0.0,2.8,0.0,0.0,2.7,0.0,0.0,1.8,0.0,0.0,1.7,0.0,0.0,1.7,0.0,0.0,1.7,0.0,0.0,1.7,0.0,0.0,0.9,0.0
Togo,5.6,329.6,5.6,5.9,347.5,5.9,6.2,365.4,6.2,7.0,412.7,7.0,7.0,414.5,7.0,6.0,356.9,6.0,7.4,436.4,7.4,7.9,469.0,7.9,9.6,563.8,9.6,11.6,681.9,11.6,13.5,796.8,13.5,16.5,975.0,16.5,18.1,1070.1,18.1,19.5,1151.8,19.5,20.5,1210.4,20.5,20.7,1222.1,20.7,21.3,1254.7,21.3,21.7,1279.0,21.7,22.2,1309.0,22.2,22.6,1333.1,22.6,22.7,1341.5,22.7,22.4,1324.2,22.4
Tonga,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trinidad and Tobago,0.0,3.6,0.0,0.0,3.9,0.0,0.0,3.9,0.0,0.0,4.2,0.0,0.0,4.4,0.0,0.0,4.5,0.0,0.0,4.7,0.0,0.0,5.0,0.0,0.0,5.2,0.0,0.0,7.3,0.0,0.0,7.0,0.0,0.0,2.0,0.0,1.6,1.8,1.6,0.0,6.4,0.0,0.0,15.2,0.0,0.0,12.0,0.0,0.0,10.5,0.0,0.0,20.3,0.0,1.0,8.8,1.0,3.0,37.7,3.0,0.0,23.7,0.0,0.0,17.6,0.0
Tunisia,0.3,14.9,0.3,0.3,14.8,0.3,0.3,16.8,0.3,0.3,16.6,0.3,0.3,16.4,0.3,0.3,16.1,0.3,0.3,14.8,0.3,0.2,14.4,0.2,0.2,13.1,0.2,0.2,10.8,0.2,0.2,10.4,0.2,0.2,9.1,0.2,0.1,7.2,0.1,0.1,6.2,0.1,0.1,4.6,0.1,0.1,4.5,0.1,0.1,3.7,0.1,0.0,2.2,0.0,0.0,1.5,0.0,0.0,1.5,0.0,0.0,0.8,0.0,0.0,0.8,0.0
Turkmenistan,4.2,250.4,4.2,4.1,244.4,4.1,4.0,237.0,4.0,3.9,228.1,3.9,3.7,215.8,3.7,3.4,200.8,3.4,3.1,184.5,3.1,2.8,165.9,2.8,2.5,147.3,2.5,2.2,128.0,2.2,1.9,110.1,1.9,1.6,93.2,1.6,1.3,78.7,1.3,1.1,66.6,1.1,1.0,56.4,1.0,0.8,46.3,0.8,0.7,38.4,0.7,0.5,31.3,0.5,0.4,25.0,0.4,0.3,19.8,0.3,0.3,15.6,0.3,0.2,12.2,0.2
Tuvalu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uganda,28.9,1706.7,28.9,29.8,1756.0,29.8,34.3,2025.8,34.3,39.2,2310.6,39.2,44.6,2629.8,44.6,48.5,2859.2,48.5,58.6,3456.9,58.6,63.2,3726.9,63.2,69.1,4074.2,69.1,86.6,5107.5,86.6,111.1,6557.0,111.1,130.1,7676.6,130.1,152.2,8978.7,152.2,167.2,9863.8,167.2,186.2,10987.1,186.2,203.7,12017.2,203.7,220.3,12995.2,220.3,237.5,14010.7,237.5,253.4,14952.7,253.4,264.7,15620.0,264.7,271.0,15991.0,271.0,273.8,16154.6,273.8
Ukraine,0.2,11.2,0.2,0.2,14.1,0.2,0.2,14.6,0.2,0.4,21.2,0.4,0.5,26.9,0.5,0.5,32.1,0.5,0.9,52.9,0.9,1.0,57.5,1.0,1.2,70.3,1.2,1.6,93.7,1.6,1.7,101.4,1.7,1.8,107.3,1.8,2.0,120.0,2.0,2.6,150.8,2.6,3.3,195.1,3.3,3.1,182.6,3.1,3.2,189.9,3.2,3.4,201.7,3.4,3.4,203.4,3.4,3.7,220.4,3.7,3.7,219.9,3.7,4.0,238.8,4.0
